r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,9999.0,0.55,9999.0,-0.511132,-0.381257,0.854888,-0.695448,-1.41636,0.120481
9999.0,9999.0,0.55,9999.0,-0.511132,-0.381257,0.854888,-0.695448,-1.41636,0.120481
9999.0,9999.0,0.55,9999.0,-0.51108,-0.38113,0.854889,-0.68611,-1.42061,0.108113
9999.0,9999.0,0.54,9999.0,-0.511029,-0.381005,0.85489,-0.676855,-1.42479,0.0958582
9999.0,9999.0,0.54,9999.0,-0.511029,-0.381005,0.85489,-0.676855,-1.42479,0.0958582
9999.0,9999.0,0.54,9999.0,-0.510979,-0.380883,0.854891,-0.667686,-1.4289,0.0837198
9999.0,0.76,0.54,9999.0,-0.51093,-0.380764,0.854891,-0.658606,-1.43292,0.0716997
9999.0,0.76,0.54,9999.0,-0.51093,-0.380764,0.854891,-0.658606,-1.43292,0.0716997
9999.0,0.76,0.54,9999.0,-0.510883,-0.380647,0.854891,-0.649616,-1.43687,0.0598002
9999.0,0.76,0.54,9999.0,-0.510836,-0.380533,0.854891,-0.640719,-1.44074,0.0480236
9999.0,0.76,0.52,9999.0,-0.510836,-0.380533,0.854891,-0.640719,-1.44074,0.0480236
9999.0,0.76,0.52,9999.0,-0.510791,-0.380422,0.854891,-0.631917,-1.44453,0.0363719
9999.0,0.76,0.52,9999.0,-0.510747,-0.380312,0.85489,-0.623212,-1.44825,0.0248474
9999.0,0.64,0.52,9999.0,-0.510747,-0.380312,0.85489,-0.623212,-1.44825,0.0248474
9999.0,0.64,0.52,9999.0,-0.510705,-0.380206,0.854889,-0.614605,-1.45189,0.0134521
9999.0,0.64,0.52,9999.0,-0.510663,-0.380102,0.854888,-0.6061,-1.45546,0.00218797
9999.0,0.64,0.5,9999.0,-0.510663,-0.380102,0.854888,-0.6061,-1.45546,0.00218797
9999.0,0.64,0.5,9999.0,-0.510623,-0.380001,0.854887,-0.597698,-1.45895,-0.00894306
9999.0,0.64,0.5,9999.0,-0.510623,-0.380001,0.854887,-0.597698,-1.45895,-0.00894306
9999.0,0.68,0.5,9999.0,-0.510584,-0.379902,0.854885,-0.589401,-1.46237,-0.0199391
9999.0,0.68,0.5,9999.0,-0.510546,-0.379806,0.854884,-0.581211,-1.46571,-0.0307982
9999.0,0.68,0.5,9999.0,-0.510546,-0.379806,0.854884,-0.581211,-1.46571,-0.0307982
9999.0,0.68,0.6,9999.0,-0.510509,-0.379712,0.854882,-0.57313,-1.46899,-0.0415188
